problem,run,trial,accuracy,n_seen,program
trs.waves.1.c002,0,11,1,169,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c005,4,1,0,17,"C = TAIL;"
trs.waves.1.c005,4,2,1,26385,".(C var13_) = var13_;"
trs.waves.1.c005,4,3,1,17441,".(C var13_) = var13_;"
trs.waves.1.c005,4,4,1,8505,".(C var13_) = var13_;"
trs.waves.1.c005,4,5,1,4057,".(C var13_) = var13_;"
trs.waves.1.c005,4,6,1,2257,".(C var13_) = var13_;"
trs.waves.1.c005,4,7,1,937,".(C var13_) = var13_;"
trs.waves.1.c005,4,8,1,473,".(C var13_) = var13_;"
trs.waves.1.c005,4,9,1,305,".(C var13_) = var13_;"
trs.waves.1.c005,4,10,1,305,".(C var13_) = var13_;"
trs.waves.1.c005,4,11,1,273,".(C var13_) = var13_;"
trs.waves.1.c001,2,1,0,17,"C = TAIL;"
trs.waves.1.c001,2,2,1,23769,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,3,1,11641,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,4,1,5657,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,5,1,4129,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,6,1,1505,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,7,1,753,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,8,1,441,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,9,1,233,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,10,1,217,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,11,1,209,".(C var42_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c002,2,1,0,17,"C = TAIL;"
trs.waves.1.c002,2,2,1,16809,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,3,1,8457,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,4,1,4201,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,5,1,1809,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,6,1,1137,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,7,1,553,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,8,1,273,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,9,1,193,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,10,1,193,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,11,1,129,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c005,0,1,0,17,"C = TAIL;"
trs.waves.1.c005,0,2,1,26497,".(C var13_) = var13_;"
trs.waves.1.c005,0,3,1,14145,".(C var13_) = var13_;"
trs.waves.1.c005,0,4,1,6233,".(C var13_) = var13_;"
trs.waves.1.c005,0,5,1,3065,".(C var13_) = var13_;"
