Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
78	:	1582750171.379	   109.789	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c015 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c015_2.log
94	:	1582750188.219	    95.145	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c018 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c018_3.log
131	:	1582750243.051	    40.741	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c005_0.log
54	:	1582750143.996	   140.940	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c010 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c010_3.log
75	:	1582750168.865	   116.390	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c014 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c014_4.log
115	:	1582750220.269	    67.454	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c001_4.log
70	:	1582750163.549	   125.484	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c013 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c013_4.log
23	:	1582750143.924	   153.017	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c004_2.log
122	:	1582750231.620	    69.676	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c003 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c003_1.log
24	:	1582750143.926	   163.107	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c004_3.log
126	:	1582750233.272	    73.939	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c004_0.log
106	:	1582750206.462	   102.409	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c000_0.log
127	:	1582750235.091	    74.964	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c004_1.log
111	:	1582750214.191	   101.495	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c001_0.log
110	:	1582750211.858	   107.713	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c000_4.log
129	:	1582750240.711	    79.444	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c004_3.log
109	:	1582750208.093	   112.065	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c000_3.log
108	:	1582750207.041	   116.676	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c000_2.log
97	:	1582750189.799	   134.381	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c019 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c019_1.log
55	:	1582750143.997	   183.226	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c010 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c010_4.log
22	:	1582750143.921	   184.631	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c004_1.log
112	:	1582750215.704	   119.194	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c001_1.log
114	:	1582750218.624	   122.157	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c001_3.log
113	:	1582750216.852	   125.177	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c001_2.log
130	:	1582750241.331	   107.480	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c004_4.log
85	:	1582750177.180	   173.714	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c016 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c016_4.log
154	:	1582750296.946	    59.869	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c009 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c009_3.log
132	:	1582750244.563	   112.263	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c005_1.log
138	:	1582750251.347	   105.953	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c006 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c006_2.log
149	:	1582750283.796	    74.184	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c008_3.log
133	:	1582750244.600	   114.151	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c005_2.log
128	:	1582750236.827	   125.452	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c004_2.log
25	:	1582750143.929	   218.501	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c004 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c004_4.log
120	:	1582750230.275	   133.662	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c002 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c002_4.log
121	:	1582750230.920	   138.547	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c003 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c003_0.log
119	:	1582750227.618	   142.424	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c002 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c002_3.log
148	:	1582750283.370	    86.991	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c008_2.log
135	:	1582750246.112	   124.657	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c005_4.log
144	:	1582750273.945	    97.259	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c007 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c007_3.log
80	:	1582750172.129	   199.549	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c015 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c015_4.log
146	:	1582750278.935	    93.078	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c008_0.log
